Initial Position:
[[[-0.36268539 -0.47297163 -0.23418507]
  [ 0.86186511  0.16530619  0.28758431]
  [ 0.22206284  0.21997007 -0.1301347 ]
  [-0.04290313  0.98427498 -0.15466009]]]

Iterations: 100
population_quant: 50
individuos: 5
wmax: 0.9
wmin: 0.4
c1: 2
c2: 2
sampleRate: 8000

Iteration: 0, Best Cost: [[32.64694524]]
Iteration: 1, Best Cost: [[32.64694524]]
Iteration: 2, Best Cost: [[32.64694524]]
Iteration: 3, Best Cost: [[32.64694524]]
Iteration: 4, Best Cost: [[32.64694524]]
Iteration: 5, Best Cost: [[32.64694524]]
Iteration: 6, Best Cost: [[32.64694524]]
Iteration: 7, Best Cost: [[32.64694524]]
Iteration: 8, Best Cost: [[32.64694524]]
Iteration: 9, Best Cost: [[32.64694524]]
Iteration: 10, Best Cost: [[32.64694524]]
Iteration: 11, Best Cost: [[32.64694524]]
Iteration: 12, Best Cost: [[32.64694524]]
Iteration: 13, Best Cost: [[32.64694524]]
Iteration: 14, Best Cost: [[32.64694524]]
Iteration: 15, Best Cost: [[32.64694524]]
Iteration: 16, Best Cost: [[32.64694524]]
Iteration: 17, Best Cost: [[32.64694524]]
Iteration: 18, Best Cost: [[32.64694524]]
Iteration: 19, Best Cost: [[32.64694524]]
Iteration: 20, Best Cost: [[32.64694524]]
Iteration: 21, Best Cost: [[32.64694524]]
Iteration: 22, Best Cost: [[32.64694524]]
Iteration: 23, Best Cost: [[32.64694524]]
Iteration: 24, Best Cost: [[32.64694524]]
Iteration: 25, Best Cost: [[32.64694524]]
Iteration: 26, Best Cost: [[32.64694524]]
Iteration: 27, Best Cost: [[32.64694524]]
Iteration: 28, Best Cost: [[32.64694524]]
Iteration: 29, Best Cost: [[32.64694524]]
Iteration: 30, Best Cost: [[32.64694524]]
Iteration: 31, Best Cost: [[32.64694524]]
Iteration: 32, Best Cost: [[32.64694524]]
Iteration: 33, Best Cost: [[32.64694524]]
Iteration: 34, Best Cost: [[32.64694524]]
Iteration: 35, Best Cost: [[32.64694524]]
Iteration: 36, Best Cost: [[32.64694524]]
Iteration: 37, Best Cost: [[32.64694524]]
Iteration: 38, Best Cost: [[32.64694524]]
Iteration: 39, Best Cost: [[32.64694524]]
Iteration: 40, Best Cost: [[32.64694524]]
Iteration: 41, Best Cost: [[32.64694524]]
Iteration: 42, Best Cost: [[32.64694524]]
Iteration: 43, Best Cost: [[32.64694524]]
Iteration: 44, Best Cost: [[32.64694524]]
Iteration: 45, Best Cost: [[32.64694524]]
Iteration: 46, Best Cost: [[32.64694524]]
Iteration: 47, Best Cost: [[32.64694524]]
Iteration: 48, Best Cost: [[32.64694524]]
Iteration: 49, Best Cost: [[32.64694524]]
Iteration: 50, Best Cost: [[32.64694524]]
Iteration: 51, Best Cost: [[32.64694524]]
Iteration: 52, Best Cost: [[32.64694524]]
Iteration: 53, Best Cost: [[32.64694524]]
Iteration: 54, Best Cost: [[32.64694524]]
Iteration: 55, Best Cost: [[32.64694524]]
Iteration: 56, Best Cost: [[32.64694524]]
Iteration: 57, Best Cost: [[32.64694524]]
Iteration: 58, Best Cost: [[32.64694524]]
Iteration: 59, Best Cost: [[32.64694524]]
Iteration: 60, Best Cost: [[32.64694524]]
Iteration: 61, Best Cost: [[32.64694524]]
Iteration: 62, Best Cost: [[32.64694524]]
Iteration: 63, Best Cost: [[32.64694524]]
Iteration: 64, Best Cost: [[32.64694524]]
Iteration: 65, Best Cost: [[32.64694524]]
Iteration: 66, Best Cost: [[32.64694524]]
Iteration: 67, Best Cost: [[32.64694524]]
Iteration: 68, Best Cost: [[32.64694524]]
Iteration: 69, Best Cost: [[32.64694524]]
Iteration: 70, Best Cost: [[32.64694524]]
Iteration: 71, Best Cost: [[32.64694524]]
Iteration: 72, Best Cost: [[32.64694524]]
Iteration: 73, Best Cost: [[32.64694524]]
Iteration: 74, Best Cost: [[32.64694524]]
Iteration: 75, Best Cost: [[32.64694524]]
Iteration: 76, Best Cost: [[32.64694524]]
Iteration: 77, Best Cost: [[32.64694524]]
Iteration: 78, Best Cost: [[32.64694524]]
Iteration: 79, Best Cost: [[32.64694524]]
Iteration: 80, Best Cost: [[32.64694524]]
Iteration: 81, Best Cost: [[32.64694524]]
Iteration: 82, Best Cost: [[32.64694524]]
Iteration: 83, Best Cost: [[32.64694524]]
Iteration: 84, Best Cost: [[32.64694524]]
Iteration: 85, Best Cost: [[32.64694524]]
Iteration: 86, Best Cost: [[32.64694524]]
Iteration: 87, Best Cost: [[32.64694524]]
Iteration: 88, Best Cost: [[32.64694524]]
Iteration: 89, Best Cost: [[32.64694524]]
Iteration: 90, Best Cost: [[32.64694524]]
Iteration: 91, Best Cost: [[32.64694524]]
Iteration: 92, Best Cost: [[32.64694524]]
Iteration: 93, Best Cost: [[32.64694524]]
Iteration: 94, Best Cost: [[32.64694524]]
Iteration: 95, Best Cost: [[32.64694524]]
Iteration: 96, Best Cost: [[32.64694524]]
Iteration: 97, Best Cost: [[32.64694524]]
Iteration: 98, Best Cost: [[32.64694524]]
Iteration: 99, Best Cost: [[32.64694524]]
